Size: 1 KB, Latency: 2.09139 ns/access, Stride: 256 B
Size: 2 KB, Latency: 2.08345 ns/access, Stride: 256 B
Size: 4 KB, Latency: 2.08857 ns/access, Stride: 256 B
Size: 8 KB, Latency: 2.08338 ns/access, Stride: 256 B
Size: 16 KB, Latency: 2.08686 ns/access, Stride: 256 B
Size: 32 KB, Latency: 2.08341 ns/access, Stride: 256 B
Size: 64 KB, Latency: 5.0374 ns/access, Stride: 256 B
Size: 128 KB, Latency: 5.00743 ns/access, Stride: 256 B
Size: 256 KB, Latency: 13.8329 ns/access, Stride: 256 B
Size: 512 KB, Latency: 20.6971 ns/access, Stride: 256 B
Size: 1024 KB, Latency: 20.996 ns/access, Stride: 256 B
Size: 2048 KB, Latency: 19.9884 ns/access, Stride: 256 B
Size: 4096 KB, Latency: 19.513 ns/access, Stride: 256 B
Size: 8192 KB, Latency: 19.273 ns/access, Stride: 256 B
Size: 16384 KB, Latency: 19.1696 ns/access, Stride: 256 B
Size: 32768 KB, Latency: 24.2445 ns/access, Stride: 256 B
Size: 65536 KB, Latency: 82.654 ns/access, Stride: 256 B
